"No","Category","Item","What was wrong / what it is","Fix / What was built","Why","Files changed","Verified","Status","Screenshot Before","Screenshot After"
"1","Payments","PayPal foundation (client + webhook verification)","All FiveCrux revenue ran through Tebex. @paypal/checkout-server-sdk sat in package.json unused and is deprecated by PayPal.","Added lib/paypal.ts: supported @paypal/paypal-server-sdk client, EUR currency, and hand-rolled webhook signature verification (the SDK ships none). Certificate host is pinned to paypal.com.","Client has an approved PayPal business account; Tebex is being removed entirely.","lib/paypal.ts, package.json, scripts/check-paypal.mjs","tsc + build clean; check-paypal.mjs probe green","Done","N/A (backend/logic change, not visual)","N/A (backend/logic change, not visual)"
"2","Payments","Order / capture / webhook routes","No payment rail existed outside Tebex for the cart (ad slots, featured slots, subscriptions, props).","POST /api/paypal/order prices the cart SERVER-side and returns only an order id; /api/paypal/capture captures then provisions; /api/paypal/webhook handles capture, refund, denied and reversed events.","The buyer must never be able to send an amount - price and coupon are re-validated on the server.","app/api/paypal/{order,capture,webhook}/route.ts","End-to-end tested locally on PGlite with a seeded cart","Done","N/A (backend/logic change, not visual)","N/A (backend/logic change, not visual)"
"3","Payments","Provisioning extracted, not rewritten","The 687-line Tebex webhook held all the logic that grants what people pay for and reverses it on refund. Duplicating it for PayPal would let the two drift apart.","Extracted verbatim into lib/provisioning.ts (Tebex webhook 688 -> 538 lines). PayPal calls the same functions.","What a buyer receives must not depend on which payment provider was used.","lib/provisioning.ts, app/api/tebex/webhook/route.ts","tsc clean; both webhooks exercised locally","Done","N/A (backend/logic change, not visual)","N/A (backend/logic change, not visual)"
"4","Payments","Cart moved to PayPal buttons","Checkout redirected to a Tebex hosted basket.","Cart renders PayPal buttons. createOrder asks our server, which prices the cart and re-validates the coupon or creator code, and returns only an order id.","Removes Tebex from the platform's own checkout.","componentss/cart/cart-checkout-panel.tsx, componentss/cart/paypal-checkout-button.tsx","Verified in browser: 2-item cart totals EUR 335, PayPal + card buttons render","Done","N/A (no before capture available)","docs/screenshots/after-cart-paypal.png"
"5","Payments","Side banners moved to PayPal","Side-banner purchase went through Tebex baskets.","Rewritten onto PayPal Orders v2. The DB reservation lock (stops two buyers taking the same position) and release-on-failure are unchanged. Duration validation now comes from the price table.","A failed payment must not hold a scarce slot hostage.","app/api/side-banners/*/route.ts","Reservation and release paths tested locally","Done","N/A (backend/logic change, not visual)","N/A (backend/logic change, not visual)"
"6","Payments","Tebex removed from every payment path","Tebex was both the payment rail AND the price database for platform placements.","Nothing new is paid for through Tebex. Seller assets still redirect to the seller's own store, so seller money never passes through FiveCrux.","Client instruction: remove Tebex completely.","14 files across cart, side banners and script detail","grep confirms no Tebex call on any platform payment path","Done","N/A (backend/logic change, not visual)","N/A (backend/logic change, not visual)"
"7","Payments","Refund webhook looked up the wrong record","On a refund event resource.id is the REFUND id, never the capture id - so the lookup could fail to find its order and silently skip revoking the entitlement AND blocking the account.","Read the capture from the rel=""up"" link first, then supplementary_data.related_ids.capture_id. resource.id is used only for DENIED and REVERSED, which really are capture-shaped events.","This defeated the entire chargeback-blocking feature on the exact event that triggers it.","app/api/paypal/webhook/route.ts","Found by reading PayPal's payload docs; checked against their refund example","Done","N/A (backend/logic change, not visual)","N/A (backend/logic change, not visual)"
"8","Payments","Sandbox credentials could reach production","Nothing stopped a sandbox PayPal key being deployed live - payments would silently not be real.","assertNotSandboxInProduction() throws at request time unless PAYPAL_ENVIRONMENT=live. Deliberately not at module scope, which broke next build (Next imports every route with NODE_ENV=production).","A store taking fake payments looks identical to one taking real ones until reconciliation.","lib/paypal.ts","Build verified clean after moving the guard off module scope","Done","N/A (backend/logic change, not visual)","N/A (backend/logic change, not visual)"
"9","Fraud & Security","Chargeback accounts are now blocked","Buyers were paying, filing a chargeback (money back, goods kept), then coming straight back to repeat it. Revoking the entitlement was all that happened - nothing stopped the next attempt.","A chargeback webhook now blocks the account. A block is READ-ONLY, not a ban: they can still sign in and browse, but cannot buy, submit or enter anything.","Reported by the client as an ongoing, repeating loss.","lib/provisioning.ts, lib/api-auth.ts, middleware.ts, auth.ts, lib/db/schema.ts, drizzle/0020","Verified: blocked account can browse; every mutating route returns 403","Done","N/A (backend/logic change, not visual)","N/A (backend/logic change, not visual)"
"10","Fraud & Security","Block enforcement is layered","The codebase has no single write chokepoint - only 9 API routes use requireUser while 61 call getServerSession directly, and 62 routes have mutating handlers.","The middleware matcher was widened from /api/admin/* to /api/* and refuses every mutating request from a blocked user (auth routes exempt), plus assertNotBlocked() fresh DB reads on the money paths.","A single-point check would have missed 53 routes.","middleware.ts, lib/api-auth.ts","Route-by-route probe: no mutating route reachable while blocked","Done","N/A (backend/logic change, not visual)","N/A (backend/logic change, not visual)"
