No,Category,Item,What was wrong / what it is,Fix / What was built,Why,Files changed,Verified,Status
1,Side Banners,Rails on all pages,"Side-ad rails (SideAdsFrame) only showed on 5 pages (home/scripts/props/giveaways/marketplace)","Added rails to category, script detail, prop detail, giveaway detail, and cart/checkout pages","User asked for rails on every page for max ad exposure","category-client.tsx, script-detail-client.tsx, prop-detail-client.tsx, giveaway-detail-client.tsx, cart/page.tsx","tsc+lint+build clean",Done
2,Side Banners,Box styling on slots,"Booked/coming-soon slots had a heavy box (border+bg); open CTA slots too","Removed box from booked/coming-soon; open CTA kept then also removed per final instruction (fully transparent, no forced color)","User wanted a lighter look, then explicitly asked to remove any forced background color entirely","side-banners.tsx","Visually verified live",Done
3,Side Banners,Grey box behind rail,"Rail (aside) had no own background on 5 pages -- root html/body color (#131313) showed through where the page bg only wrapped the inner <main>, not the rail","Root-caused it: swapped element nesting so the page's bg-[#0a0a0a] wrapper is OUTERMOST (wraps SideAdsFrame including both rails), matching how home/category already worked","Two earlier band-aid attempts (pinning color on the rail) kept getting reverted/re-broken -- this is the real structural fix","scripts-client.tsx, props-client.tsx, script-detail-client.tsx, prop-detail-client.tsx, marketplace-client.tsx","tsc+lint+build clean, pixel-verified on live site",Done
4,Side Banners,Image upload,"Banner image field only accepted a pasted URL, no real file upload","Added a real Upload button (POST to /api/upload, purpose=side_banner)","User wanted to upload a file directly, not just paste a URL","side-banners-manager.tsx","tsc+lint clean",Done
5,Footer,Social icons,"Footer showed Discord + YouTube + X icons, but YouTube/X pointed at the same Discord invite (fake placeholder links)","Removed YouTube and X icons, kept only Discord","User asked to only keep Discord since the others were fake placeholders","footer.tsx","tsc+lint clean",Done
6,Footer,Logo,"Footer showed a generic orange 'F' square + text instead of the real logo","Replaced with the actual /fivecrux-logo.png image (same one navbar uses)","User noticed the footer logo didn't match the navbar's real logo","footer.tsx","tsc+lint clean",Done
7,Home page,Hero card hover-clip,"Featured-row cards got their top edge clipped on hover-lift (translate-y) because the scroll row had zero top padding and a forced overflow-y from overflow-x-auto","Added top padding (pt-2, offset with -mt-2 so layout doesn't shift)","Hover lift pushed the card's badge past the container's clipped top edge","home-client.tsx","tsc+lint clean",Done
8,Cards,Sizing consistency,"Home page cards were 300px; scripts/props/marketplace/category pages were still 280px -- inconsistent size across the site","Changed all listing pages to 300px to match home","User noticed cards changed size depending on which page you browsed","scripts-client.tsx, props-client.tsx, marketplace-client.tsx, category-client.tsx","tsc+lint clean",Done
9,Cards,Grid stretch/gap bug,"Grid columns used minmax(300px,1fr) -- with fewer items than a full row the 1fr let columns stretch past 300px, making gaps look huge","Capped the grid track at exactly 300px (minmax(min(100%,300px),300px))","User noticed inconsistent gap/spacing on category pages with few results (e.g. Maps: 4 items)","scripts-client.tsx, props-client.tsx, marketplace-client.tsx","tsc+lint+build clean, pixel-verified live",Done
10,Categories,'Other' fallback,"Scripts whose category doesn't match any active DB category had nowhere to show up in navigation","Added an 'Other' entry to the navbar + a manual 'Other' filter chip on the Scripts page that catches any script not in the known active-category list","User asked which pages don't show categories properly / wanted a catch-all","navbar.tsx, scripts-client.tsx, category-client.tsx","tsc+lint+build clean, live-verified",Done
11,Script detail,Seller photo missing,"API already returned the seller's real profile picture (seller_image), but the UI only ever rendered the initial-letter fallback avatar -- the real photo was fetched and thrown away","Now renders the actual photo when present, falls back to initial only if none","Found while investigating an unrelated request -- real data existed but wasn't used","script-detail-client.tsx","tsc+lint clean",Done
12,Script detail,Tag capitalization,"Category badge and framework tags displayed exactly as stored in the DB (often lowercase)","Added `capitalize` to both so they always display title-case regardless of raw DB value","User noticed lowercase tags on the product detail page","script-detail-client.tsx","tsc+lint clean",Done
13,Coupons,Creator access too restrictive,"Only verified_creator/admin/founder could create coupon codes -- a plain seller with real listings could not","Opened access to any seller with >=1 approved script or prop, in addition to the existing roles","User wanted their (or any) seller account to be able to make coupon codes","lib/coupon-access.ts, app/api/coupons/*, profile/page.tsx","tsc+lint+build clean, 3/3 existing coupon tests still pass",Done
14,Performance,Slow loading on every refresh,"Navbar and side-ad rails each did their own client-side fetch AFTER hydration on every single page load, regardless of whether the page itself was already server-rendered","Both route-group layouts ((app) and (public)) now fetch categories + side-banners ONCE server-side and share via React context; Navbar/SideAdsFrame use it immediately, client fetch only as fallback","User reported the whole site feeling slow to load on refresh","nav-data-context.tsx (new), lib/nav-data-server.ts (new), app/(app)/layout.tsx, app/(public)/layout.tsx, navbar.tsx, side-banners.tsx","tsc+lint+build clean -- caught and fixed a self-introduced regression here too (see #15)",Done
15,Performance,Self-caught regression,"First attempt at #14 used cache:no-store for the side-banners fetch inside the shared layout -- since that layout wraps EVERY page, it silently forced the ENTIRE site from static/ISR to fully dynamic per-request rendering","Changed to next:{revalidate:60} matching every other page's own ISR tolerance -- restores static generation","Caught via prod build output showing routes flip from (Static) to (Dynamic) -- fixed before shipping","lib/nav-data-server.ts","Verified via next build output (routes back to Static/ISR)",Done
16,Category page,Not server-rendered,"category/[slug] was the one listing page still 100% client-fetched (no SSR/ISR), unlike scripts/props/marketplace/home which already were","Split into a server page.tsx (fetches scripts+categories server-side, ISR 60s) + category-client.tsx that seeds from that data and skips its own fetch when seeded","Brought the last inconsistent page in line with the rest of the site's SSR pattern","category/[slug]/page.tsx, category/[slug]/category-client.tsx (new)","tsc+lint+build clean",Done
17,Profile,Member since wrong date,"'Member since' always showed TODAY's date (new Date()) for every account, regardless of actual signup date","auth.ts session callback now also exposes the DB user's real createdAt; profile sidebar reads that instead","Spotted in a screenshot -- obviously wrong output, same date for everyone","auth.ts, profile/page.tsx","tsc+lint clean",Done
18,Analytics,Traffic section overlap,"The 'Traffic' section in Profile -> Analytics had no top margin (every other section below it uses mt-4) so it visually crowded/overlapped the 5 stat tiles above it","Added the missing mt-4 wrapper","User pointed out visual overlap in a screenshot","creator-analytics.tsx","tsc+lint clean",Done
19,New feature,Detailed Analytics (impressions/clicks/trends/geo),"No real per-ad analytics existed anywhere -- impressions/clicks/traffic-sources/geography dashboard didn't exist in the codebase at all","Built from scratch: new ad_events table logging every real impression (IntersectionObserver, 50% visible) and click across ads/featured-scripts/side-banners (side-banners had ZERO tracking before this); a 'Detailed Analytics' modal (trend chart, traffic sources from Referer header, geography from Vercel's edge geo header -- no IP ever stored) wired into Profile Ads/Featured Scripts/Side Banners tabs","User asked for a full impressions/clicks/geography dashboard matching a reference screenshot they'd seen elsewhere","lib/ad-analytics.ts (new), ad_events schema+migration, /api/ads/analytics, /api/ads/[id]/view+click, /api/featured-scripts/[id]/view+click, /api/side-banners/[id]/view+click (new), ad-detailed-analytics-modal.tsx (new)","tsc+lint+build clean, 12/12 new tests, 85/85 full regression -- also caught+fixed a timezone bug in the new table before it ever reached prod",Done (needs DB migration -- see below)
20,Bugfix,Timezone bug in new table,"A plain `timestamp` column (no timezone) stores the DB session's LOCAL wall-clock time as a naive value -- reading it back via JS Date shifts it by the session's UTC offset, making date-range queries silently wrong","Caught via failing test before shipping -- changed to `timestamp with time zone` on the new ad_events table","Found while writing tests for the new Detailed Analytics feature, fixed before the table ever went to prod (zero cost since it was brand new)","lib/db/schema.ts","12/12 tests passed after the fix",Done
21,Image uploads,Ad creative bypassed validation,"Two ad-creation upload calls (ads-form.tsx, admin's ad-create dialog) sent bare FormData with no type/purpose field -- silently skipping /api/upload's server-side image-format and dimension validation","Both now send type=image, purpose=ad_creative like every other upload path in the app","Found during a site-wide image-field audit requested by the user","ads-form.tsx, admin/page.tsx","tsc+lint clean",Done
22,Image uploads,Missing dimension hints,"Several image upload fields had no 'recommended size' guidance, risking cropped/stretched uploads","Added dimension hints: ad creative 1200x800px, side-banner 300x600px, script/giveaway cover 1280x720 (now matches submit pages), avatar square min 200x200px (tooltip)","Full site audit requested by the user to make sure every image field has upload + sizing guidance","ads-form.tsx, admin/page.tsx, side-banners-manager.tsx, profile/scripts/[id]/edit, profile/giveaways/[id]/edit, profile/page.tsx","tsc+lint+build clean",Done
23,New feature,Creator Codes (affiliate/referral),"No storewide affiliate/referral code system existed -- only self-scoped Coupons (discount your own listing)","Built a new, separate 'Creator Codes' feature: any buyer on any cart can use a creator's code to get a discount, and that creator earns a tracked commission on the sale. New Coupon/Creator dropdown toggle at checkout (mirrors Tebex's own UI); Profile -> Creator Codes tab to create/manage + see real earnings (summed from actual redemptions, no drifting counter). Commission tracking only -- payouts are manual, same as every other money feature in this app","User saw Tebex's own Coupon/Creator toggle on a script purchase and wanted the same for FiveCrux's own cart (props/side-banner slots)","lib/creator-code-access.ts, lib/creator-code-utils.ts (new), creator_codes + creator_code_redemptions tables + migration, /api/creator-codes, /api/cart/creator-code, tebex-checkout-flow.ts, cart-checkout-panel.tsx, creator-codes-tab.tsx (new)","tsc+lint+build clean, 9/9 new tests, 94/94 full regression",Done (needs DB migration -- see below)
24,Home page,Featured row duplicate,"The 'Featured' row below the hero showed the SAME first 5 items as the hero spotlight carousel just above it -- literal duplicate content","Featured row now skips the first 5 (shows items 6-15 of the featured/fallback list) so it never repeats what the hero already showed","User pointed out the hero's big featured item was now duplicated in the row below since the hero got bigger","home-client.tsx","tsc+lint clean",Done
25,Home page,New Releases ordering,"Asked to confirm New Releases shows newest-first and auto-updates","Already correct -- /api/scripts orders by createdAt DESC and the row just takes the first 12, so it's always live DB data, always newest-first, no hardcoding","No fix needed -- confirmed via the actual DB query, not assumption",lib/database-new.ts (read-only check, no change),"Confirmed via code inspection",No fix needed (already correct)
26,Home page,'Free Scripts' rename,"Row was labeled 'Free Scripts' even though free items can include props/maps/etc, not just scripts","Renamed the row title to 'Free Assets'",User asked to rename it since the category includes more than just scripts,home-client.tsx,tsc+lint clean,Done
27,Home page,'Start Selling' banner removed,"A promotional strip ('Got scripts to sell? ... Start Selling') sat between the discovery rows and the 'Why Choose FiveCrux' section",Removed the entire section,User asked to remove this banner,home-client.tsx,tsc+lint clean,Done
28,Workflow,Deployment confusion,"Repeatedly pushed commits to the feature branch after its PR had already merged -- those later commits sat unmerged with no PR tracking them, so fixes felt 'stuck' even though nothing was actually broken","Diagnosed via comparing git log on main vs the feature branch + checking the actual deployed JS bundle content (not just PR/CI status labels, which can be misleading) -- created catch-up PRs each time, then switched to pushing directly to main per explicit user instruction","This was the root cause of several 'why isn't my fix live' confusions this session -- documented so it doesn't recur","n/a (process, not code)","Confirmed by content-diffing the live JS bundle before/after each fix",Resolved
